AP50 | motion=   all = 0.6258
Category AP:
bread           : nan
cake            : nan
dish            : nan
fruits          : nan
vegetables      : nan
crab            : nan
backpack        : nan
camera          : nan
cellphone       : nan
handbag         : nan
laptop          : nan
suitcase        : nan
ball/sports_ball: 0.4464
bat             : nan
frisbee         : nan
racket          : nan
skateboard      : nan
ski             : nan
snowboard       : nan
surfboard       : nan
toy             : nan
baby_seat       : nan
bottle          : nan
chair           : nan
cup             : nan
electric_fan    : nan
faucet          : nan
microwave       : 0.1351
oven            : nan
refrigerator    : nan
screen/monitor  : nan
sink            : nan
sofa            : nan
stool           : nan
table           : nan
toilet          : nan
guitar          : nan
piano           : nan
baby_walker     : nan
bench           : nan
stop_sign       : nan
traffic_light   : nan
aircraft        : nan
bicycle         : nan
bus/truck       : nan
car             : nan
motorcycle      : nan
scooter         : nan
train           : nan
watercraft      : nan
bird            : nan
chicken         : nan
duck            : nan
penguin         : nan
fish            : nan
stingray        : nan
crocodile       : nan
snake           : nan
turtle          : nan
antelope        : nan
bear            : nan
camel           : nan
cat             : nan
cattle/cow      : nan
dog             : nan
elephant        : nan
hamster/rat     : nan
horse           : nan
kangaroo        : nan
leopard         : nan
lion            : nan
panda           : nan
pig             : nan
rabbit          : nan
sheep/goat      : nan
squirrel        : nan
tiger           : nan
adult           : 0.9287
baby            : nan
child           : 0.9929
